monthly,%
2018-01-01,6.9 
2018-02-01,6.5 
2018-03-01,7.1 
2018-04-01,7.4 
2018-05-01,6.6 
2018-06-01,6.6 
2018-07-01,6.0 
2018-08-01,5.4 
2018-09-01,6.5 
2018-10-01,6.6 
2018-11-01,6.2 
2018-12-01,6.1 
2019-01-01,7.2 
2019-02-01,6.9 
2019-03-01,7.7 
2019-04-01,6.8 
2019-05-01,5.1 
2019-06-01,5.7 
2019-07-01,6.2 
2019-08-01,7.1 
2019-09-01,6.8 
2019-10-01,6.6 
2019-11-01,7.0 
2019-12-01,7.4 
2020-01-01,6.3 
2020-02-01,6.0 
2020-03-01,8.5 
2020-04-01,10.7 
2020-05-01,13.5 
2020-06-01,13.8 
2020-07-01,14.0 
2020-08-01,14.7 
2020-09-01,10.7 
2020-10-01,10.6 
2020-11-01,11.5 
2020-12-01,11.3 
2021-01-01,10.8 
2021-02-01,11.0 
2021-03-01,9.1 
2021-04-01,9.4 
2021-05-01,10.5 
2021-06-01,9.8 
2021-07-01,9.7 
2021-08-01,8.6 
2021-09-01,8.1 
2021-10-01,7.8 
2021-11-01,7.9 
2021-12-01,8.0 
2022-01-01,9.4 
2022-02-01,7.7 
2022-03-01,7.7 
2022-04-01,7.1 
2022-05-01,5.4 
2022-06-01,5.2 
2022-07-01,5.2 
2022-08-01,5.9 
2022-09-01,7.1 
2022-10-01,7.5 
2022-11-01,7.3 
2022-12-01,6.6 
2023-01-01,7.1 
